Symbol,Long/Short,Entry Date,Average Entry Price,Exit Price,Exit Date,Profit %,Sector,Year,Month,Weekday,Trade Duration
ROSG,Long,2013-01-24,4.45,5.45,2013-02-11,22.5,Equity / Other,2013,1,Thursday,18.0
DIA,Short,2013-01-28,138.85,142.2,2013-03-05,-2.4,Index ETF,2013,1,Monday,36.0
MMM,Short,2013-01-29,101.35,104.15,2013-02-19,-2.76,Industrials,2013,1,Tuesday,21.0
FXY,Long,2013-02-05,104.75,107.45,2013-02-25,2.6,Equity / Other,2013,2,Tuesday,20.0
JPM,Short,2013-02-05,48.35,50.65,2013-03-07,-4.75,Financial Services,2013,2,Tuesday,30.0
SDS,Long,2013-02-19,46.6,48.33,2013-02-21,3.71,Equity / Other,2013,2,Tuesday,2.0
SMH,Short,2013-02-19,35.75,34.6,2013-02-21,3.2,Equity / Other,2013,2,Tuesday,2.0
SDS,Long,2013-02-22,47.48,47.48,2013-02-27,0.0,Equity / Other,2013,2,Friday,5.0
RAX,Long,2013-02-22,52.98,55.0,2013-02-27,3.8,Technology,2013,2,Friday,5.0
SDS,Long,2013-02-27,47.0,48.15,2013-03-04,2.45,Equity / Other,2013,2,Wednesday,5.0
AAPL,Long,2013-03-04,422.25,465.0,2013-03-25,10.2,Technology,2013,3,Monday,21.0
BAC,Short,2013-03-05,11.6,12.57,2013-03-25,-8.3,Financial Services,2013,3,Tuesday,20.0
SDS,Long,2013-03-11,44.83,45.75,2013-03-20,0.92,Equity / Other,2013,3,Monday,9.0
OXY,Short,2013-03-11,83.1,79.6,2013-03-19,4.2,Energy,2013,3,Monday,8.0
SLV,Short,2013-03-12,28.3,25.95,2013-04-03,8.3,Equity / Other,2013,3,Tuesday,22.0
IBM,Short,2013-03-13,212.1,210.05,2013-04-17,2.0,Technology,2013,3,Wednesday,35.0
EMC,Short,2013-03-13,25.15,22.83,2013-04-05,9.22,Equity / Other,2013,3,Wednesday,23.0
KR,Short,2013-03-21,32.05,34.65,2013-04-22,-6.67,Consumer Defensive,2013,3,Thursday,32.0
AMZN,Short,2013-03-27,265.5,257.0,2013-04-18,3.2,Consumer Cyclical,2013,3,Wednesday,22.0
SDS,Long,2013-03-28,43.94,39.25,2013-05-15,-10.6,Equity / Other,2013,3,Thursday,48.0
VLO,Short,2013-04-01,45.35,39.95,2013-04-03,11.9,Energy,2013,4,Monday,2.0
IAU,Long,2013-04-10,15.2,14.46,2013-04-12,-4.86,Commodities,2013,4,Wednesday,2.0
CVX,Short,2013-04-10,119.3,114.9,2013-04-17,3.7,Energy,2013,4,Wednesday,7.0
FXY,Long,2013-04-10,98.25,100.05,2013-04-15,1.83,Equity / Other,2013,4,Wednesday,5.0
GLD,Long,2013-04-15,135.11,138.75,2013-04-22,2.7,Commodities,2013,4,Monday,7.0
MHP,Long,2013-04-17,51.9,54.0,2013-04-29,4.04,Equity / Other,2013,4,Wednesday,12.0
ABX,Long,2013-04-17,17.98,19.03,2013-04-24,5.84,Financial Services,2013,4,Wednesday,7.0
CAT,Long,2013-04-18,80.6,82.8,2013-04-22,2.72,Industrials,2013,4,Thursday,4.0
BIDU,Long,2013-04-18,88.25,89.25,2013-04-29,1.13,Communication Services,2013,4,Thursday,11.0
ROSG,Long,2013-04-22,3.2,4.01,2013-05-15,25.0,Equity / Other,2013,4,Monday,23.0
JPM,Short,2013-04-24,48.85,47.0,2013-05-03,3.8,Financial Services,2013,4,Wednesday,9.0
TGT,Short,2013-04-25,70.8,68.2,2013-08-20,3.7,Consumer Defensive,2013,4,Thursday,117.0
IBM,Short,2013-04-29,198.85,208.5,2013-05-17,-4.8,Technology,2013,4,Monday,18.0
CVX,Short,2013-05-02,122.25,120.75,2013-06-06,1.22,Energy,2013,5,Thursday,35.0
